t,value
1675883910,0
1675883940,0
1675883970,0
1675884000,0
1675884030,0
1675884060,0
1675884090,0
1675884120,0
1675884150,0
1675884180,0
1675884210,0
1675884240,0
1675884270,0
1675884300,0
1675884330,0
1675884360,0
1675884390,0
1675884420,0
1675884450,0
1675884480,0
1675884510,0
1675884540,0
1675884570,0
1675884600,0
1675884630,0
1675884660,0
1675884690,0
1675884720,0
1675884750,0
1675884780,0
1675884810,0
1675884840,0
1675975050,194
1675975080,194
1675975110,194
1675975141,194
1675975171,194
1675975201,194
1675975231,194
1675975261,194
1675975291,194
1675975321,194
1675975351,194
1675975381,194
1675975411,194
1675975441,194
1675975471,194
1675975501,194
1675975531,194
1675975561,194
1675975591,194
1675975621,194
1675975651,194
1675975681,194
1675975711,194
1675975741,194
1675975771,194
1675975801,194
1675975831,194
1675975861,194
1675975891,194
1675975921,194
1675975951,194
1675975981,194
1675976011,194
1675976041,194
1675976071,194
1675976101,194
1675976131,194
1675976161,194
1675976191,194
1675976221,194
1675976251,194
1675976281,194
1675976311,194
1675976341,194
1675976371,194
1675976401,194
1675976431,194
1675976461,194
1675976491,194
1675976521,194
1675976551,194
1675976581,194
1675976611,194
1675976641,194
1675976671,194
1675976701,194
1675976731,85
1675976761,85
1675976791,85
1675976821,85
1675976851,85
1675976881,85
1675976911,85
1675976941,85
1675976971,85
1675977001,85
1675977031,85
1675977061,85
1675977091,85
1675977121,85
1675977151,85
1675977181,85
1675977211,85
1675977241,85
1675977271,85
1675977301,85
1675977331,85
1675977361,85
1675977391,85
1675977421,85
1675977451,85
1675977481,85
1675977511,85
1675977541,85
1675977572,85
1675977602,85
1675977632,83
1675977662,83
1675977692,83
1675977722,83
1675977752,83
1675977782,83
1675977812,83
1675977842,83
1675977872,83
1675977902,83
1675977932,83
1675977962,83
1675977992,83
1675978022,83
1675978052,83
1675978082,83
1675978112,83
1675978142,83
1675978172,83
1675978202,83
1675978232,83
1675978262,83
1675978292,83
1675978322,83
1675978352,83
1675978382,83
1675978412,83
1675978442,83
1675978472,83
1675978502,83
1675978532,390
1675978562,390
1675978592,390
1675978622,390
1675978652,390
1675978682,390
1675978712,390
1675978742,390
1675978772,390
1675978802,390
1675978832,390
1675978862,390
1675978892,390
1675978922,390
1675978952,390
1675978982,390
1675979012,390
1675979042,390
1675979072,390
1675979102,390
1675979132,390
1675979162,390
1675979192,390
1675979222,390
1675979252,390
1675979282,390
1675979312,390
1675979342,390
1675979372,390
1675979402,390
1675979432,69
1675979462,69
1675979492,69
1675979522,69
1675979552,69
1675979582,69
1675979612,69
1675979642,69
1675979672,69
1675979702,69
1675979732,69
