t,value
1675883910,0
1675883940,0
1675883970,1
1675884000,2
1675884030,2
1675884060,4
1675884090,4
1675884120,4
1675884150,6
1675884180,6
1675884210,8
1675884240,8
1675884270,8
1675884300,8
1675884330,8
1675884360,8
1675884390,8
1675884420,8
1675884450,8
1675884480,8
1675884510,8
1675884540,8
1675884570,8
1675884600,8
1675884630,8
1675884660,8
1675884690,8
1675884720,8
1675884750,8
1675884780,8
1675884810,8
1675884840,8
1675975050,8
1675975080,8
1675975110,8
1675975141,8
1675975171,8
1675975201,8
1675975231,8
1675975261,8
1675975291,8
1675975321,8
1675975351,8
1675975381,8
1675975411,9
1675975441,9
1675975471,14
1675975501,14
1675975531,15
1675975561,15
1675975591,18
1675975621,18
1675975651,18
1675975681,21
1675975711,27
1675975741,30
1675975771,30
1675975801,36
1675975831,39
1675975861,45
1675975891,45
1675975921,45
1675975951,45
1675975981,45
1675976011,45
1675976041,45
1675976071,45
1675976101,48
1675976131,48
1675976161,51
1675976191,51
1675976221,54
1675976251,54
1675976281,54
1675976311,57
1675976341,60
1675976371,60
1675976401,60
1675976431,60
1675976461,60
1675976491,60
1675976521,63
1675976551,63
1675976581,69
1675976611,72
1675976641,78
1675976671,78
1675976701,78
1675976731,78
1675976761,81
1675976791,81
1675976821,81
1675976851,81
1675976881,84
1675976911,84
1675976941,87
1675976971,87
1675977001,90
1675977031,90
1675977061,90
1675977091,90
1675977121,90
1675977151,90
1675977181,90
1675977211,90
1675977241,90
1675977271,90
1675977301,90
1675977331,93
1675977361,93
1675977391,96
1675977421,99
1675977451,99
1675977481,99
1675977511,99
1675977541,99
1675977572,99
1675977602,99
1675977632,99
1675977662,99
1675977692,99
1675977722,99
1675977752,99
1675977782,99
1675977812,99
1675977842,99
1675977872,99
1675977902,99
1675977932,99
1675977962,99
1675977992,99
1675978022,99
1675978052,99
1675978082,99
1675978112,99
1675978142,99
1675978172,102
1675978202,102
1675978232,102
1675978262,102
1675978292,102
1675978322,102
1675978352,102
1675978382,102
1675978412,106
1675978442,106
1675978472,110
1675978502,114
1675978532,114
1675978562,114
1675978592,114
1675978622,114
1675978652,114
1675978682,119
1675978712,129
1675978742,129
1675978772,129
1675978802,129
1675978832,129
1675978862,129
1675978892,135
1675978922,135
1675978952,135
1675978982,135
1675979012,135
1675979042,141
1675979072,141
1675979102,147
1675979132,147
1675979162,147
1675979192,147
1675979222,147
1675979252,154
1675979282,154
1675979312,154
1675979342,161
1675979372,168
1675979402,168
1675979432,168
1675979462,175
1675979492,189
1675979522,189
1675979552,189
1675979582,189
1675979612,189
1675979642,189
1675979672,189
1675979702,189
1675979732,189
