t,value
1675883910,8
1675883940,8
1675883970,9
1675884000,10
1675884030,10
1675884060,12
1675884090,12
1675884120,12
1675884150,14
1675884180,14
1675884210,16
1675884240,16
1675884270,16
1675884300,16
1675884330,16
1675884360,16
1675884390,16
1675884420,16
1675884450,16
1675884480,16
1675884510,16
1675884540,16
1675884570,16
1675884600,16
1675884630,16
1675884660,16
1675884690,16
1675884720,16
1675884750,16
1675884780,16
1675884810,16
1675884840,16
1675975050,16
1675975080,16
1675975110,16
1675975141,16
1675975171,16
1675975201,16
1675975231,16
1675975261,16
1675975291,16
1675975321,16
1675975351,16
1675975381,16
1675975411,17
1675975441,17
1675975471,22
1675975501,22
1675975531,23
1675975561,23
1675975591,26
1675975621,26
1675975651,26
1675975681,29
1675975711,35
1675975741,38
1675975771,38
1675975801,44
1675975831,47
1675975861,53
1675975891,53
1675975921,53
1675975951,53
1675975981,53
1675976011,53
1675976041,53
1675976071,53
1675976101,57
1675976131,57
1675976161,61
1675976191,61
1675976221,65
1675976251,65
1675976281,65
1675976311,68
1675976341,72
1675976371,72
1675976401,72
1675976431,72
1675976461,72
1675976491,72
1675976521,76
1675976551,76
1675976581,84
1675976611,88
1675976641,96
1675976671,96
1675976701,96
1675976731,96
1675976761,100
1675976791,100
1675976821,100
1675976851,100
1675976881,105
1675976911,105
1675976941,110
1675976971,110
1675977001,115
1675977031,115
1675977061,115
1675977091,115
1675977121,115
1675977151,115
1675977181,115
1675977211,115
1675977241,115
1675977271,115
1675977301,115
1675977331,121
1675977361,121
1675977391,127
1675977421,133
1675977451,133
1675977481,133
1675977511,133
1675977541,133
1675977572,133
1675977602,133
1675977632,133
1675977662,133
1675977692,133
1675977722,133
1675977752,133
1675977782,133
1675977812,133
1675977842,133
1675977872,133
1675977902,133
1675977932,133
1675977962,133
1675977992,133
1675978022,133
1675978052,133
1675978082,133
1675978112,133
1675978142,133
1675978172,142
1675978202,142
1675978232,142
1675978262,142
1675978292,142
1675978322,142
1675978352,142
1675978382,142
1675978412,154
1675978442,154
1675978472,166
1675978502,178
1675978532,178
1675978562,178
1675978592,178
1675978622,178
1675978652,178
1675978682,193
1675978712,223
1675978742,223
1675978772,223
1675978802,223
1675978832,223
1675978862,223
1675978892,241
1675978922,241
1675978952,241
1675978982,241
1675979012,241
1675979042,259
1675979072,259
1675979102,277
1675979132,277
1675979162,277
1675979192,277
1675979222,277
1675979252,296
1675979282,296
1675979312,296
1675979342,317
1675979372,338
1675979402,338
1675979432,338
1675979462,359
1675979492,401
1675979522,401
1675979552,401
1675979582,401
1675979612,401
1675979642,401
1675979672,401
1675979702,401
1675979732,401
