t,value
1675883910,0
1675883940,0
1675883970,0
1675884000,0
1675884030,0
1675884060,0
1675884090,0
1675884120,0
1675884150,1
1675884180,1
1675884210,2
1675884240,2
1675884270,2
1675884300,2
1675884330,2
1675884360,2
1675884390,2
1675884420,2
1675884450,2
1675884480,2
1675884510,2
1675884540,2
1675884570,2
1675884600,2
1675884630,2
1675884660,2
1675884690,2
1675884720,2
1675884750,2
1675884780,2
1675884810,2
1675884840,2
1675975050,2
1675975080,2
1675975110,2
1675975141,2
1675975171,2
1675975201,2
1675975231,2
1675975261,2
1675975291,2
1675975321,2
1675975351,2
1675975381,2
1675975411,2
1675975441,2
1675975471,2
1675975501,2
1675975531,2
1675975561,2
1675975591,2
1675975621,2
1675975651,2
1675975681,3
1675975711,5
1675975741,6
1675975771,6
1675975801,8
1675975831,9
1675975861,11
1675975891,11
1675975921,11
1675975951,11
1675975981,11
1675976011,11
1675976041,11
1675976071,11
1675976101,12
1675976131,12
1675976161,13
1675976191,13
1675976221,14
1675976251,14
1675976281,14
1675976311,15
1675976341,16
1675976371,16
1675976401,16
1675976431,16
1675976461,16
1675976491,16
1675976521,17
1675976551,17
1675976581,19
1675976611,20
1675976641,22
1675976671,22
1675976701,22
1675976731,22
1675976761,23
1675976791,23
1675976821,23
1675976851,23
1675976881,24
1675976911,24
1675976941,25
1675976971,25
1675977001,26
1675977031,26
1675977061,26
1675977091,26
1675977121,26
1675977151,26
1675977181,26
1675977211,26
1675977241,26
1675977271,26
1675977301,26
1675977331,27
1675977361,27
1675977391,28
1675977421,29
1675977451,29
1675977481,29
1675977511,29
1675977541,29
1675977572,29
1675977602,29
1675977632,29
1675977662,29
1675977692,29
1675977722,29
1675977752,29
1675977782,29
1675977812,29
1675977842,29
1675977872,29
1675977902,29
1675977932,29
1675977962,29
1675977992,29
1675978022,29
1675978052,29
1675978082,29
1675978112,29
1675978142,29
1675978172,31
1675978202,31
1675978232,31
1675978262,31
1675978292,31
1675978322,31
1675978352,31
1675978382,31
1675978412,34
1675978442,34
1675978472,38
1675978502,43
1675978532,43
1675978562,43
1675978592,43
1675978622,43
1675978652,43
1675978682,48
1675978712,60
1675978742,60
1675978772,60
1675978802,60
1675978832,60
1675978862,60
1675978892,67
1675978922,67
1675978952,67
1675978982,67
1675979012,67
1675979042,75
1675979072,75
1675979102,83
1675979132,83
1675979162,83
1675979192,83
1675979222,83
1675979252,92
1675979282,92
1675979312,92
1675979342,101
1675979372,110
1675979402,110
1675979432,110
1675979462,119
1675979492,137
1675979522,137
1675979552,137
1675979582,137
1675979612,137
1675979642,137
1675979672,137
1675979702,137
1675979732,137
