t,value
1675883910,0
1675883940,0
1675883970,0
1675884000,0
1675884030,0
1675884060,0
1675884090,0
1675884120,0
1675884150,1
1675884180,1
1675884210,1
1675884240,1
1675884270,1
1675884300,1
1675884330,1
1675884360,1
1675884390,1
1675884420,1
1675884450,1
1675884480,1
1675884510,1
1675884540,1
1675884570,1
1675884600,1
1675884630,1
1675884660,1
1675884690,1
1675884720,1
1675884750,1
1675884780,1
1675884810,1
1675884840,1
1675975050,1
1675975080,1
1675975110,1
1675975141,1
1675975171,1
1675975201,1
1675975231,1
1675975261,1
1675975291,1
1675975321,1
1675975351,1
1675975381,1
1675975411,1
1675975441,1
1675975471,1
1675975501,1
1675975531,1
1675975561,1
1675975591,1
1675975621,1
1675975651,1
1675975681,2
1675975711,2
1675975741,2
1675975771,2
1675975801,4
1675975831,5
1675975861,7
1675975891,7
1675975921,7
1675975951,7
1675975981,7
1675976011,7
1675976041,7
1675976071,7
1675976101,7
1675976131,7
1675976161,7
1675976191,7
1675976221,7
1675976251,7
1675976281,7
1675976311,7
1675976341,7
1675976371,7
1675976401,7
1675976431,7
1675976461,7
1675976491,7
1675976521,7
1675976551,7
1675976581,7
1675976611,7
1675976641,7
1675976671,7
1675976701,7
1675976731,7
1675976761,8
1675976791,8
1675976821,8
1675976851,8
1675976881,8
1675976911,8
1675976941,8
1675976971,8
1675977001,9
1675977031,9
1675977061,9
1675977091,9
1675977121,9
1675977151,9
1675977181,9
1675977211,9
1675977241,9
1675977271,9
1675977301,9
1675977331,9
1675977361,9
1675977391,10
1675977421,10
1675977451,10
1675977481,10
1675977511,10
1675977541,10
1675977572,10
1675977602,10
1675977632,10
1675977662,10
1675977692,10
1675977722,10
1675977752,10
1675977782,10
1675977812,10
1675977842,10
1675977872,10
1675977902,10
1675977932,10
1675977962,10
1675977992,10
1675978022,10
1675978052,10
1675978082,10
1675978112,10
1675978142,10
1675978172,11
1675978202,11
1675978232,11
1675978262,11
1675978292,11
1675978322,11
1675978352,11
1675978382,11
1675978412,11
1675978442,11
1675978472,12
1675978502,12
1675978532,12
1675978562,12
1675978592,12
1675978622,12
1675978652,12
1675978682,12
1675978712,12
1675978742,12
1675978772,12
1675978802,12
1675978832,12
1675978862,12
1675978892,13
1675978922,13
1675978952,13
1675978982,13
1675979012,13
1675979042,14
1675979072,14
1675979102,15
1675979132,15
1675979162,15
1675979192,15
1675979222,15
1675979252,15
1675979282,15
1675979312,15
1675979342,16
1675979372,16
1675979402,16
1675979432,16
1675979462,16
1675979492,16
1675979522,16
1675979552,16
1675979582,16
1675979612,16
1675979642,16
1675979672,16
1675979702,16
1675979732,16
