t,value
1675883910,73728
1675883940,73728
1675883970,73728
1675884000,73728
1675884030,73728
1675884060,73728
1675884090,73728
1675884120,73728
1675884150,73728
1675884180,73728
1675884210,73728
1675884240,73728
1675884270,73728
1675884300,73728
1675884330,73728
1675884360,73728
1675884390,73728
1675884420,73728
1675884450,73728
1675884480,73728
1675884510,156362
1675884540,156362
1675884570,156362
1675884600,156362
1675884630,156362
1675884660,156362
1675884690,156362
1675884720,156362
1675884750,156362
1675884780,156362
1675884810,156362
1675884840,156362
1675975050,901834
1675975080,901834
1675975110,901834
1675975141,901834
1675975171,901834
1675975201,901834
1675975231,901834
1675975261,901834
1675975291,901834
1675975321,901834
1675975351,901834
1675975381,901834
1675975411,901834
1675975441,901834
1675975471,901834
1675975501,901834
1675975531,901834
1675975561,901834
1675975591,901834
1675975621,901834
1675975651,901834
1675975681,901834
1675975711,901834
1675975741,901834
1675975771,901834
1675975801,901834
1675975831,901834
1675975861,901834
1675975891,901834
1675975921,901834
1675975951,901834
1675975981,901834
1675976011,901834
1675976041,901834
1675976071,901834
1675976101,901834
1675976131,901834
1675976161,901834
1675976191,901834
1675976221,901834
1675976251,901834
1675976281,901834
1675976311,901834
1675976341,901834
1675976371,901834
1675976401,901834
1675976431,901834
1675976461,901834
1675976491,901834
1675976521,901834
1675976551,901834
1675976581,901834
1675976611,901834
1675976641,901834
1675976671,901834
1675976701,901834
1675976731,901834
1675976761,901834
1675976791,901834
1675976821,901834
1675976851,926410
1675976881,926410
1675976911,926410
1675976941,926410
1675976971,926410
1675977001,926410
1675977031,926410
1675977061,926410
1675977091,926410
1675977121,926410
1675977151,926410
1675977181,926410
1675977211,926410
1675977241,926410
1675977271,926410
1675977301,926410
1675977331,926410
1675977361,926410
1675977391,926410
1675977421,926410
1675977451,926410
1675977481,926410
1675977511,926410
1675977541,926410
1675977572,926410
1675977602,926410
1675977632,926410
1675977662,926410
1675977692,926410
1675977722,926410
1675977752,926410
1675977782,926410
1675977812,926410
1675977842,926410
1675977872,926410
1675977902,926410
1675977932,926410
1675977962,926410
1675977992,926410
1675978022,926410
1675978052,926410
1675978082,926410
1675978112,926410
1675978142,926410
1675978172,926410
1675978202,926410
1675978232,926410
1675978262,926410
1675978292,926410
1675978322,926410
1675978352,926410
1675978382,926410
1675978412,926410
1675978442,926410
1675978472,926410
1675978502,926410
1675978532,926410
1675978562,926410
1675978592,926410
1675978622,926410
1675978652,926410
1675978682,926410
1675978712,926410
1675978742,926410
1675978772,926410
1675978802,926410
1675978832,926410
1675978862,926410
1675978892,926410
1675978922,926410
1675978952,926410
1675978982,926410
1675979012,926410
1675979042,926410
1675979072,926410
1675979102,926410
1675979132,926410
1675979162,926410
1675979192,926410
1675979222,926410
1675979252,926410
1675979282,926410
1675979312,926410
1675979342,926410
1675979372,926410
1675979402,926410
1675979432,926410
1675979462,926410
1675979492,926410
1675979522,926410
1675979552,926410
1675979582,926410
1675979612,926410
1675979642,926410
1675979672,926410
1675979702,926410
1675979732,926410
