t,value
1675883910,73856
1675883940,73856
1675883970,73856
1675884000,73856
1675884030,73856
1675884060,73856
1675884090,73856
1675884120,73856
1675884150,73856
1675884180,73856
1675884210,73856
1675884240,73856
1675884270,73856
1675884300,73856
1675884330,73856
1675884360,73856
1675884390,73856
1675884420,73856
1675884450,73856
1675884480,73856
1675884510,162450
1675884540,162450
1675884570,162450
1675884600,162450
1675884630,162450
1675884660,162450
1675884690,162450
1675884720,162450
1675884750,162450
1675884780,162450
1675884810,162450
1675884840,162450
1675975050,908154
1675975080,908154
1675975110,908154
1675975141,908154
1675975171,908154
1675975201,908154
1675975231,908154
1675975261,908154
1675975291,908154
1675975321,908154
1675975351,908154
1675975381,908154
1675975411,908154
1675975441,908154
1675975471,908154
1675975501,908154
1675975531,908154
1675975561,908154
1675975591,908154
1675975621,908154
1675975651,910260
1675975681,910260
1675975711,910260
1675975741,910260
1675975771,910260
1675975801,910260
1675975831,910260
1675975861,910260
1675975891,910260
1675975921,910260
1675975951,910260
1675975981,910260
1675976011,910260
1675976041,910260
1675976071,910260
1675976101,910260
1675976131,910260
1675976161,910260
1675976191,910260
1675976221,910260
1675976251,920411
1675976281,920411
1675976311,920411
1675976341,920411
1675976371,920411
1675976401,920411
1675976431,920411
1675976461,920411
1675976491,920411
1675976521,920411
1675976551,920411
1675976581,920411
1675976611,920411
1675976641,920411
1675976671,920411
1675976701,920411
1675976731,920411
1675976761,920411
1675976791,920411
1675976821,920411
1675976851,953089
1675976881,953089
1675976911,953089
1675976941,953089
1675976971,953089
1675977001,953089
1675977031,953089
1675977061,953089
1675977091,953089
1675977121,953089
1675977151,953089
1675977181,953089
1675977211,953089
1675977241,953089
1675977271,953089
1675977301,953089
1675977331,953089
1675977361,953089
1675977391,953089
1675977421,953089
1675977451,959618
1675977481,959618
1675977511,959618
1675977541,959618
1675977572,959618
1675977602,959618
1675977632,959618
1675977662,959618
1675977692,959618
1675977722,959618
1675977752,959618
1675977782,959618
1675977812,959618
1675977842,959618
1675977872,959618
1675977902,959618
1675977932,959618
1675977962,959618
1675977992,959618
1675978022,959618
1675978052,959850
1675978082,959850
1675978112,959850
1675978142,959850
1675978172,959850
1675978202,959850
1675978232,959850
1675978262,959850
1675978292,959850
1675978322,959850
1675978352,959850
1675978382,959850
1675978412,959850
1675978442,959850
1675978472,959850
1675978502,959850
1675978532,959850
1675978562,959850
1675978592,959850
1675978622,959850
1675978652,968223
1675978682,968223
1675978712,968223
1675978742,968223
1675978772,968223
1675978802,968223
1675978832,968223
1675978862,968223
1675978892,968223
1675978922,968223
1675978952,968223
1675978982,968223
1675979012,968223
1675979042,968223
1675979072,968223
1675979102,968223
1675979132,968223
1675979162,968223
1675979192,968223
1675979222,968223
1675979252,990600
1675979282,990600
1675979312,990600
1675979342,990600
1675979372,990600
1675979402,990600
1675979432,990600
1675979462,990600
1675979492,990600
1675979522,990600
1675979552,990600
1675979582,990600
1675979612,990600
1675979642,990600
1675979672,990600
1675979702,990600
1675979732,990600
