t,value
1675883910,0
1675883940,0
1675883970,0
1675884000,0
1675884030,0
1675884060,0
1675884090,0
1675884120,0
1675884150,0
1675884180,0
1675884210,0
1675884240,0
1675884270,0
1675884300,0
1675884330,0
1675884360,0
1675884390,0
1675884420,0
1675884450,0
1675884480,0
1675884510,0
1675884540,0
1675884570,0
1675884600,0
1675884630,0
1675884660,0
1675884690,0
1675884720,0
1675884750,0
1675884780,0
1675884810,0
1675884840,0
1675975050,179
1675975080,179
1675975110,179
1675975141,179
1675975171,179
1675975201,179
1675975231,179
1675975261,179
1675975291,179
1675975321,179
1675975351,179
1675975381,179
1675975411,179
1675975441,179
1675975471,179
1675975501,179
1675975531,179
1675975561,179
1675975591,179
1675975621,179
1675975651,179
1675975681,179
1675975711,179
1675975741,179
1675975771,179
1675975801,179
1675975831,179
1675975861,179
1675975891,179
1675975921,179
1675975951,179
1675975981,179
1675976011,179
1675976041,179
1675976071,179
1675976101,179
1675976131,179
1675976161,179
1675976191,179
1675976221,179
1675976251,179
1675976281,179
1675976311,179
1675976341,179
1675976371,179
1675976401,179
1675976431,179
1675976461,179
1675976491,179
1675976521,179
1675976551,179
1675976581,179
1675976611,179
1675976641,179
1675976671,179
1675976701,179
1675976731,179
1675976761,179
1675976791,179
1675976821,179
1675976851,179
1675976881,179
1675976911,179
1675976941,179
1675976971,179
1675977001,179
1675977031,179
1675977061,179
1675977091,179
1675977121,179
1675977151,179
1675977181,179
1675977211,179
1675977241,179
1675977271,179
1675977301,179
1675977331,179
1675977361,179
1675977391,179
1675977421,179
1675977451,179
1675977481,179
1675977511,179
1675977541,179
1675977572,179
1675977602,179
1675977632,179
1675977662,179
1675977692,179
1675977722,179
1675977752,179
1675977782,179
1675977812,179
1675977842,179
1675977872,179
1675977902,179
1675977932,179
1675977962,179
1675977992,179
1675978022,179
1675978052,179
1675978082,179
1675978112,179
1675978142,179
1675978172,179
1675978202,179
1675978232,179
1675978262,179
1675978292,179
1675978322,179
1675978352,179
1675978382,179
1675978412,179
1675978442,179
1675978472,179
1675978502,179
1675978532,179
1675978562,179
1675978592,179
1675978622,179
1675978652,179
1675978682,179
1675978712,179
1675978742,179
1675978772,179
1675978802,179
1675978832,179
1675978862,179
1675978892,179
1675978922,179
1675978952,179
1675978982,179
1675979012,179
1675979042,179
1675979072,179
1675979102,179
1675979132,179
1675979162,179
1675979192,179
1675979222,179
1675979252,179
1675979282,179
1675979312,179
1675979342,179
1675979372,179
1675979402,179
1675979432,179
1675979462,179
1675979492,179
1675979522,179
1675979552,179
1675979582,179
1675979612,179
1675979642,179
1675979672,179
1675979702,179
1675979732,179
