t,value
1675883910,57
1675883940,57
1675883970,57
1675884000,57
1675884030,57
1675884060,57
1675884090,57
1675884120,57
1675884150,57
1675884180,57
1675884210,57
1675884240,57
1675884270,57
1675884300,57
1675884330,57
1675884360,57
1675884390,57
1675884420,57
1675884450,57
1675884480,57
1675884510,57
1675884540,57
1675884570,57
1675884600,57
1675884630,57
1675884660,57
1675884690,57
1675884720,57
1675884750,57
1675884780,57
1675884810,57
1675884840,57
1675975050,57
1675975080,57
1675975110,57
1675975141,57
1675975171,57
1675975201,57
1675975231,57
1675975261,57
1675975291,57
1675975321,57
1675975351,57
1675975381,57
1675975411,57
1675975441,57
1675975471,57
1675975501,57
1675975531,57
1675975561,57
1675975591,57
1675975621,57
1675975651,57
1675975681,57
1675975711,57
1675975741,57
1675975771,57
1675975801,57
1675975831,57
1675975861,57
1675975891,57
1675975921,57
1675975951,57
1675975981,57
1675976011,57
1675976041,57
1675976071,57
1675976101,57
1675976131,57
1675976161,57
1675976191,57
1675976221,57
1675976251,57
1675976281,57
1675976311,57
1675976341,57
1675976371,57
1675976401,57
1675976431,57
1675976461,57
1675976491,57
1675976521,57
1675976551,57
1675976581,57
1675976611,57
1675976641,57
1675976671,57
1675976701,57
1675976731,57
1675976761,57
1675976791,57
1675976821,57
1675976851,57
1675976881,57
1675976911,57
1675976941,57
1675976971,57
1675977001,57
1675977031,57
1675977061,57
1675977091,57
1675977121,57
1675977151,57
1675977181,57
1675977211,57
1675977241,57
1675977271,57
1675977301,57
1675977331,57
1675977361,57
1675977391,57
1675977421,57
1675977451,57
1675977481,57
1675977511,57
1675977541,57
1675977572,57
1675977602,57
1675977632,57
1675977662,57
1675977692,57
1675977722,57
1675977752,57
1675977782,57
1675977812,57
1675977842,57
1675977872,57
1675977902,57
1675977932,57
1675977962,57
1675977992,57
1675978022,57
1675978052,57
1675978082,57
1675978112,57
1675978142,57
1675978172,57
1675978202,57
1675978232,57
1675978262,57
1675978292,57
1675978322,57
1675978352,57
1675978382,57
1675978412,57
1675978442,57
1675978472,57
1675978502,57
1675978532,57
1675978562,57
1675978592,57
1675978622,57
1675978652,57
1675978682,57
1675978712,57
1675978742,57
1675978772,57
1675978802,57
1675978832,57
1675978862,57
1675978892,57
1675978922,57
1675978952,57
1675978982,57
1675979012,57
1675979042,57
1675979072,57
1675979102,57
1675979132,57
1675979162,57
1675979192,57
1675979222,57
1675979252,57
1675979282,57
1675979312,57
1675979342,57
1675979372,57
1675979402,57
1675979432,57
1675979462,57
1675979492,57
1675979522,57
1675979552,57
1675979582,57
1675979612,57
1675979642,57
1675979672,57
1675979702,57
1675979732,57
