t,value
1675883910,132
1675883940,132
1675883970,132
1675884000,132
1675884030,132
1675884060,132
1675884090,132
1675884120,132
1675884150,132
1675884180,132
1675884210,132
1675884240,132
1675884270,132
1675884300,132
1675884330,132
1675884360,132
1675884390,132
1675884420,132
1675884450,132
1675884480,132
1675884510,132
1675884540,132
1675884570,132
1675884600,132
1675884630,132
1675884660,132
1675884690,132
1675884720,132
1675884750,132
1675884780,132
1675884810,132
1675884840,132
1675975050,132
1675975080,132
1675975110,132
1675975141,132
1675975171,132
1675975201,132
1675975231,132
1675975261,132
1675975291,132
1675975321,132
1675975351,132
1675975381,132
1675975411,132
1675975441,132
1675975471,132
1675975501,132
1675975531,132
1675975561,132
1675975591,132
1675975621,132
1675975651,132
1675975681,132
1675975711,132
1675975741,132
1675975771,132
1675975801,132
1675975831,132
1675975861,132
1675975891,132
1675975921,132
1675975951,132
1675975981,132
1675976011,132
1675976041,132
1675976071,132
1675976101,132
1675976131,132
1675976161,132
1675976191,132
1675976221,132
1675976251,132
1675976281,132
1675976311,132
1675976341,132
1675976371,132
1675976401,132
1675976431,132
1675976461,132
1675976491,132
1675976521,132
1675976551,132
1675976581,132
1675976611,132
1675976641,132
1675976671,132
1675976701,132
1675976731,132
1675976761,132
1675976791,132
1675976821,132
1675976851,132
1675976881,132
1675976911,132
1675976941,132
1675976971,132
1675977001,132
1675977031,132
1675977061,132
1675977091,132
1675977121,132
1675977151,132
1675977181,132
1675977211,132
1675977241,132
1675977271,132
1675977301,132
1675977331,132
1675977361,132
1675977391,132
1675977421,132
1675977451,132
1675977481,132
1675977511,132
1675977541,132
1675977572,132
1675977602,132
1675977632,132
1675977662,132
1675977692,132
1675977722,132
1675977752,132
1675977782,132
1675977812,132
1675977842,132
1675977872,132
1675977902,132
1675977932,132
1675977962,132
1675977992,132
1675978022,132
1675978052,132
1675978082,132
1675978112,132
1675978142,132
1675978172,132
1675978202,132
1675978232,132
1675978262,132
1675978292,132
1675978322,132
1675978352,132
1675978382,132
1675978412,132
1675978442,132
1675978472,132
1675978502,132
1675978532,132
1675978562,132
1675978592,132
1675978622,132
1675978652,132
1675978682,132
1675978712,132
1675978742,132
1675978772,132
1675978802,132
1675978832,132
1675978862,132
1675978892,132
1675978922,132
1675978952,132
1675978982,132
1675979012,132
1675979042,132
1675979072,132
1675979102,132
1675979132,132
1675979162,132
1675979192,132
1675979222,132
1675979252,132
1675979282,132
1675979312,132
1675979342,132
1675979372,132
1675979402,132
1675979432,132
1675979462,132
1675979492,132
1675979522,132
1675979552,132
1675979582,132
1675979612,132
1675979642,132
1675979672,132
1675979702,132
1675979732,132
