t,value
1675883910,115
1675883940,115
1675883970,115
1675884000,115
1675884030,115
1675884060,115
1675884090,115
1675884120,115
1675884150,115
1675884180,115
1675884210,115
1675884240,115
1675884270,115
1675884300,115
1675884330,115
1675884360,115
1675884390,115
1675884420,115
1675884450,115
1675884480,115
1675884510,115
1675884540,115
1675884570,115
1675884600,115
1675884630,115
1675884660,115
1675884690,115
1675884720,115
1675884750,115
1675884780,115
1675884810,115
1675884840,115
1675975050,115
1675975080,115
1675975110,115
1675975141,115
1675975171,115
1675975201,115
1675975231,115
1675975261,115
1675975291,115
1675975321,115
1675975351,115
1675975381,115
1675975411,115
1675975441,115
1675975471,115
1675975501,115
1675975531,115
1675975561,115
1675975591,115
1675975621,115
1675975651,115
1675975681,115
1675975711,115
1675975741,115
1675975771,115
1675975801,115
1675975831,115
1675975861,115
1675975891,115
1675975921,115
1675975951,115
1675975981,115
1675976011,115
1675976041,115
1675976071,115
1675976101,115
1675976131,115
1675976161,115
1675976191,115
1675976221,115
1675976251,115
1675976281,115
1675976311,115
1675976341,115
1675976371,115
1675976401,115
1675976431,115
1675976461,115
1675976491,115
1675976521,115
1675976551,115
1675976581,115
1675976611,115
1675976641,115
1675976671,115
1675976701,115
1675976731,115
1675976761,115
1675976791,115
1675976821,115
1675976851,115
1675976881,115
1675976911,115
1675976941,115
1675976971,115
1675977001,115
1675977031,115
1675977061,115
1675977091,115
1675977121,115
1675977151,115
1675977181,115
1675977211,115
1675977241,115
1675977271,115
1675977301,115
1675977331,115
1675977361,115
1675977391,115
1675977421,115
1675977451,115
1675977481,115
1675977511,115
1675977541,115
1675977572,115
1675977602,115
1675977632,115
1675977662,115
1675977692,115
1675977722,115
1675977752,115
1675977782,115
1675977812,115
1675977842,115
1675977872,115
1675977902,115
1675977932,115
1675977962,115
1675977992,115
1675978022,115
1675978052,115
1675978082,115
1675978112,115
1675978142,115
1675978172,115
1675978202,115
1675978232,115
1675978262,115
1675978292,115
1675978322,115
1675978352,115
1675978382,115
1675978412,115
1675978442,115
1675978472,115
1675978502,115
1675978532,115
1675978562,115
1675978592,115
1675978622,115
1675978652,115
1675978682,115
1675978712,115
1675978742,115
1675978772,115
1675978802,115
1675978832,115
1675978862,115
1675978892,115
1675978922,115
1675978952,115
1675978982,115
1675979012,115
1675979042,115
1675979072,115
1675979102,115
1675979132,115
1675979162,115
1675979192,115
1675979222,115
1675979252,115
1675979282,115
1675979312,115
1675979342,115
1675979372,115
1675979402,115
1675979432,115
1675979462,115
1675979492,115
1675979522,115
1675979552,115
1675979582,115
1675979612,115
1675979642,115
1675979672,115
1675979702,115
1675979732,115
