t,value
1675883910,8
1675883940,8
1675883970,8
1675884000,8
1675884030,8
1675884060,8
1675884090,8
1675884120,8
1675884150,8
1675884180,8
1675884210,8
1675884240,8
1675884270,8
1675884300,8
1675884330,8
1675884360,8
1675884390,8
1675884420,8
1675884450,8
1675884480,8
1675884510,8
1675884540,8
1675884570,8
1675884600,8
1675884630,8
1675884660,8
1675884690,8
1675884720,8
1675884750,8
1675884780,8
1675884810,8
1675884840,8
1675975050,8
1675975080,8
1675975110,8
1675975141,8
1675975171,8
1675975201,8
1675975231,8
1675975261,8
1675975291,8
1675975321,8
1675975351,8
1675975381,8
1675975411,8
1675975441,8
1675975471,8
1675975501,8
1675975531,8
1675975561,8
1675975591,8
1675975621,8
1675975651,8
1675975681,8
1675975711,8
1675975741,8
1675975771,8
1675975801,8
1675975831,8
1675975861,8
1675975891,8
1675975921,8
1675975951,8
1675975981,8
1675976011,8
1675976041,8
1675976071,8
1675976101,8
1675976131,8
1675976161,8
1675976191,8
1675976221,8
1675976251,8
1675976281,8
1675976311,8
1675976341,8
1675976371,8
1675976401,8
1675976431,8
1675976461,8
1675976491,8
1675976521,8
1675976551,8
1675976581,8
1675976611,8
1675976641,8
1675976671,8
1675976701,8
1675976731,8
1675976761,8
1675976791,8
1675976821,8
1675976851,8
1675976881,8
1675976911,8
1675976941,8
1675976971,8
1675977001,8
1675977031,8
1675977061,8
1675977091,8
1675977121,8
1675977151,8
1675977181,8
1675977211,8
1675977241,8
1675977271,8
1675977301,8
1675977331,8
1675977361,8
1675977391,8
1675977421,8
1675977451,8
1675977481,8
1675977511,8
1675977541,8
1675977572,8
1675977602,8
1675977632,8
1675977662,8
1675977692,8
1675977722,8
1675977752,8
1675977782,8
1675977812,8
1675977842,8
1675977872,8
1675977902,8
1675977932,8
1675977962,8
1675977992,8
1675978022,8
1675978052,8
1675978082,8
1675978112,8
1675978142,8
1675978172,8
1675978202,8
1675978232,8
1675978262,8
1675978292,8
1675978322,8
1675978352,8
1675978382,8
1675978412,8
1675978442,8
1675978472,8
1675978502,8
1675978532,8
1675978562,8
1675978592,8
1675978622,8
1675978652,8
1675978682,8
1675978712,8
1675978742,8
1675978772,8
1675978802,8
1675978832,8
1675978862,8
1675978892,8
1675978922,8
1675978952,8
1675978982,8
1675979012,8
1675979042,8
1675979072,8
1675979102,8
1675979132,8
1675979162,8
1675979192,8
1675979222,8
1675979252,8
1675979282,8
1675979312,8
1675979342,8
1675979372,8
1675979402,8
1675979432,8
1675979462,8
1675979492,8
1675979522,8
1675979552,8
1675979582,8
1675979612,8
1675979642,8
1675979672,8
1675979702,8
1675979732,8
