t,value
1675883910,73728
1675883940,73728
1675883970,73728
1675884000,73728
1675884030,73728
1675884060,73728
1675884090,73728
1675884120,73728
1675884150,73728
1675884180,73728
1675884210,73728
1675884240,73728
1675884270,73728
1675884300,73728
1675884330,73728
1675884360,73728
1675884390,73728
1675884420,73728
1675884450,73728
1675884480,73728
1675884510,484210
1675884540,484210
1675884570,484210
1675884600,484210
1675884630,484210
1675884660,484210
1675884690,484210
1675884720,484210
1675884750,484210
1675884780,484210
1675884810,484210
1675884840,484210
1675975050,1229682
1675975080,1229682
1675975110,1229682
1675975141,1229682
1675975171,1229682
1675975201,1229682
1675975231,1229682
1675975261,1229682
1675975291,1229682
1675975321,1229682
1675975351,1229682
1675975381,1229682
1675975411,1229682
1675975441,1229682
1675975471,1229682
1675975501,1229682
1675975531,1229682
1675975561,1229682
1675975591,1229682
1675975621,1229682
1675975651,1229682
1675975681,1229682
1675975711,1229682
1675975741,1229682
1675975771,1229682
1675975801,1229682
1675975831,1229682
1675975861,1229682
1675975891,1229682
1675975921,1229682
1675975951,1229682
1675975981,1229682
1675976011,1229682
1675976041,1229682
1675976071,1229682
1675976101,1229682
1675976131,1229682
1675976161,1229682
1675976191,1229682
1675976221,1229682
1675976251,1229682
1675976281,1229682
1675976311,1229682
1675976341,1229682
1675976371,1229682
1675976401,1229682
1675976431,1229682
1675976461,1229682
1675976491,1229682
1675976521,1229682
1675976551,1229682
1675976581,1229682
1675976611,1229682
1675976641,1229682
1675976671,1229682
1675976701,1229682
1675976731,1229682
1675976761,1229682
1675976791,1229682
1675976821,1229682
1675976851,1229682
1675976881,1229682
1675976911,1229682
1675976941,1229682
1675976971,1229682
1675977001,1229682
1675977031,1229682
1675977061,1229682
1675977091,1229682
1675977121,1229682
1675977151,1229682
1675977181,1229682
1675977211,1229682
1675977241,1229682
1675977271,1229682
1675977301,1229682
1675977331,1229682
1675977361,1229682
1675977391,1229682
1675977421,1229682
1675977451,1229682
1675977481,1229682
1675977511,1229682
1675977541,1229682
1675977572,1229682
1675977602,1229682
1675977632,1229682
1675977662,1229682
1675977692,1229682
1675977722,1229682
1675977752,1229682
1675977782,1229682
1675977812,1229682
1675977842,1229682
1675977872,1229682
1675977902,1229682
1675977932,1229682
1675977962,1229682
1675977992,1229682
1675978022,1229682
1675978052,1229682
1675978082,1229682
1675978112,1229682
1675978142,1229682
1675978172,1229682
1675978202,1229682
1675978232,1229682
1675978262,1229682
1675978292,1229682
1675978322,1229682
1675978352,1229682
1675978382,1229682
1675978412,1229682
1675978442,1229682
1675978472,1229682
1675978502,1229682
1675978532,1229682
1675978562,1229682
1675978592,1229682
1675978622,1229682
1675978652,1229682
1675978682,1229682
1675978712,1229682
1675978742,1229682
1675978772,1229682
1675978802,1229682
1675978832,1229682
1675978862,1229682
1675978892,1229682
1675978922,1229682
1675978952,1229682
1675978982,1229682
1675979012,1229682
1675979042,1229682
1675979072,1229682
1675979102,1229682
1675979132,1229682
1675979162,1229682
1675979192,1229682
1675979222,1229682
1675979252,1229682
1675979282,1229682
1675979312,1229682
1675979342,1229682
1675979372,1229682
1675979402,1229682
1675979432,1229682
1675979462,1229682
1675979492,1229682
1675979522,1229682
1675979552,1229682
1675979582,1229682
1675979612,1229682
1675979642,1229682
1675979672,1229682
1675979702,1229682
1675979732,1229682
