t,value
1675883910,73728
1675883940,73728
1675883970,73728
1675884000,73728
1675884030,73728
1675884060,73728
1675884090,73728
1675884120,73728
1675884150,73728
1675884180,73728
1675884210,73728
1675884240,73728
1675884270,73728
1675884300,73728
1675884330,73728
1675884360,73728
1675884390,73728
1675884420,73728
1675884450,73728
1675884480,73728
1675884510,537148
1675884540,537148
1675884570,537148
1675884600,537148
1675884630,537148
1675884660,537148
1675884690,537148
1675884720,537148
1675884750,537148
1675884780,537148
1675884810,537148
1675884840,537148
1675975050,1282852
1675975080,1282852
1675975110,1282852
1675975141,1282852
1675975171,1282852
1675975201,1282852
1675975231,1282852
1675975261,1282852
1675975291,1282852
1675975321,1282852
1675975351,1282852
1675975381,1282852
1675975411,1282852
1675975441,1282852
1675975471,1282852
1675975501,1282852
1675975531,1282852
1675975561,1282852
1675975591,1282852
1675975621,1282852
1675975651,1282852
1675975681,1282852
1675975711,1282852
1675975741,1282852
1675975771,1282852
1675975801,1282852
1675975831,1282852
1675975861,1282852
1675975891,1282852
1675975921,1282852
1675975951,1282852
1675975981,1282852
1675976011,1282852
1675976041,1282852
1675976071,1282852
1675976101,1282852
1675976131,1282852
1675976161,1282852
1675976191,1282852
1675976221,1282852
1675976251,1282852
1675976281,1282852
1675976311,1282852
1675976341,1282852
1675976371,1282852
1675976401,1282852
1675976431,1282852
1675976461,1282852
1675976491,1282852
1675976521,1282852
1675976551,1282852
1675976581,1282852
1675976611,1282852
1675976641,1282852
1675976671,1282852
1675976701,1282852
1675976731,1282852
1675976761,1282852
1675976791,1282852
1675976821,1282852
1675976851,1282852
1675976881,1282852
1675976911,1282852
1675976941,1282852
1675976971,1282852
1675977001,1282852
1675977031,1282852
1675977061,1282852
1675977091,1282852
1675977121,1282852
1675977151,1282852
1675977181,1282852
1675977211,1282852
1675977241,1282852
1675977271,1282852
1675977301,1282852
1675977331,1282852
1675977361,1282852
1675977391,1282852
1675977421,1282852
1675977451,1282852
1675977481,1282852
1675977511,1282852
1675977541,1282852
1675977572,1282852
1675977602,1282852
1675977632,1282852
1675977662,1282852
1675977692,1282852
1675977722,1282852
1675977752,1282852
1675977782,1282852
1675977812,1282852
1675977842,1282852
1675977872,1282852
1675977902,1282852
1675977932,1282852
1675977962,1282852
1675977992,1282852
1675978022,1282852
1675978052,1282852
1675978082,1282852
1675978112,1282852
1675978142,1282852
1675978172,1282852
1675978202,1282852
1675978232,1282852
1675978262,1282852
1675978292,1282852
1675978322,1282852
1675978352,1282852
1675978382,1282852
1675978412,1282852
1675978442,1282852
1675978472,1282852
1675978502,1282852
1675978532,1282852
1675978562,1282852
1675978592,1282852
1675978622,1282852
1675978652,1282852
1675978682,1282852
1675978712,1282852
1675978742,1282852
1675978772,1282852
1675978802,1282852
1675978832,1282852
1675978862,1282852
1675978892,1282852
1675978922,1282852
1675978952,1282852
1675978982,1282852
1675979012,1282852
1675979042,1282852
1675979072,1282852
1675979102,1282852
1675979132,1282852
1675979162,1282852
1675979192,1282852
1675979222,1282852
1675979252,1282852
1675979282,1282852
1675979312,1282852
1675979342,1282852
1675979372,1282852
1675979402,1282852
1675979432,1282852
1675979462,1282852
1675979492,1282852
1675979522,1282852
1675979552,1282852
1675979582,1282852
1675979612,1282852
1675979642,1282852
1675979672,1282852
1675979702,1282852
1675979732,1282852
