t,value
1675883910,2
1675883940,2
1675883970,2
1675884000,2
1675884030,2
1675884060,2
1675884090,2
1675884120,2
1675884150,2
1675884180,2
1675884210,2
1675884240,2
1675884270,2
1675884300,2
1675884330,2
1675884360,2
1675884390,2
1675884420,2
1675884450,2
1675884480,2
1675884510,2
1675884540,2
1675884570,2
1675884600,2
1675884630,2
1675884660,2
1675884690,2
1675884720,2
1675884750,2
1675884780,2
1675884810,2
1675884840,2
1675975050,-2
1675975080,2
1675975110,2
1675975141,2
1675975171,2
1675975201,2
1675975231,2
1675975261,2
1675975291,2
1675975321,2
1675975351,2
1675975381,2
1675975411,2
1675975441,2
1675975471,2
1675975501,3
1675975531,3
1675975561,3
1675975591,3
1675975621,3
1675975651,3
1675975681,3
1675975711,3
1675975741,3
1675975771,3
1675975801,3
1675975831,3
1675975861,3
1675975891,3
1675975921,3
1675975951,3
1675975981,3
1675976011,3
1675976041,3
1675976071,3
1675976101,3
1675976131,3
1675976161,3
1675976191,3
1675976221,3
1675976251,3
1675976281,3
1675976311,3
1675976341,3
1675976371,3
1675976401,3
1675976431,3
1675976461,1
1675976491,3
1675976521,3
1675976551,3
1675976581,3
1675976611,3
1675976641,3
1675976671,3
1675976701,3
1675976731,3
1675976761,3
1675976791,3
1675976821,3
1675976851,3
1675976881,3
1675976911,3
1675976941,3
1675976971,3
1675977001,3
1675977031,3
1675977061,3
1675977091,3
1675977121,3
1675977151,3
1675977181,3
1675977211,3
1675977241,3
1675977271,3
1675977301,3
1675977331,3
1675977361,3
1675977391,3
1675977421,3
1675977451,3
1675977481,3
1675977511,3
1675977541,3
1675977572,3
1675977602,3
1675977632,3
1675977662,3
1675977692,3
1675977722,3
1675977752,3
1675977782,3
1675977812,3
1675977842,3
1675977872,3
1675977902,3
1675977932,3
1675977962,3
1675977992,3
1675978022,3
1675978052,3
1675978082,3
1675978112,3
1675978142,3
1675978172,3
1675978202,3
1675978232,3
1675978262,3
1675978292,3
1675978322,3
1675978352,3
1675978382,3
1675978412,3
1675978442,3
1675978472,3
1675978502,3
1675978532,3
1675978562,3
1675978592,3
1675978622,3
1675978652,3
1675978682,3
1675978712,3
1675978742,3
1675978772,3
1675978802,3
1675978832,3
1675978862,3
1675978892,3
1675978922,3
1675978952,3
1675978982,3
1675979012,3
1675979042,3
1675979072,3
1675979102,3
1675979132,3
1675979162,3
1675979192,3
1675979222,3
1675979252,3
1675979282,3
1675979312,3
1675979342,3
1675979372,3
1675979402,3
1675979432,3
1675979462,3
1675979492,3
1675979522,3
1675979552,3
1675979582,3
1675979612,3
1675979642,3
1675979672,3
1675979702,3
1675979732,3
