t,value
1675883910,0
1675883940,0
1675883970,0
1675884000,0
1675884030,0
1675884060,0
1675884090,0
1675884120,0
1675884150,0
1675884180,0
1675884210,0
1675884240,0
1675884270,0
1675884300,0
1675884330,0
1675884360,0
1675884390,0
1675884420,0
1675884450,0
1675884480,0
1675884510,0
1675884540,0
1675884570,0
1675884600,0
1675884630,0
1675884660,0
1675884690,0
1675884720,0
1675884750,0
1675884780,0
1675884810,0
1675884840,0
1675975050,0
1675975080,0
1675975110,0
1675975141,0
1675975171,0
1675975201,0
1675975231,0
1675975261,0
1675975291,0
1675975321,0
1675975351,0
1675975381,0
1675975411,0
1675975441,0
1675975471,0
1675975501,0
1675975531,0
1675975561,0
1675975591,0
1675975621,0
1675975651,0
1675975681,0
1675975711,0
1675975741,0
1675975771,0
1675975801,0
1675975831,0
1675975861,0
1675975891,0
1675975921,0
1675975951,0
1675975981,0
1675976011,0
1675976041,0
1675976071,0
1675976101,0
1675976131,0
1675976161,0
1675976191,0
1675976221,0
1675976251,0
1675976281,0
1675976311,0
1675976341,0
1675976371,0
1675976401,0
1675976431,0
1675976461,2
1675976491,0
1675976521,0
1675976551,0
1675976581,0
1675976611,0
1675976641,0
1675976671,0
1675976701,0
1675976731,0
1675976761,0
1675976791,0
1675976821,0
1675976851,0
1675976881,0
1675976911,0
1675976941,0
1675976971,0
1675977001,0
1675977031,0
1675977061,0
1675977091,0
1675977121,0
1675977151,0
1675977181,0
1675977211,0
1675977241,0
1675977271,0
1675977301,0
1675977331,0
1675977361,0
1675977391,0
1675977421,0
1675977451,0
1675977481,0
1675977511,0
1675977541,0
1675977572,0
1675977602,0
1675977632,0
1675977662,0
1675977692,0
1675977722,0
1675977752,0
1675977782,0
1675977812,0
1675977842,0
1675977872,0
1675977902,0
1675977932,0
1675977962,0
1675977992,0
1675978022,0
1675978052,0
1675978082,0
1675978112,0
1675978142,0
1675978172,0
1675978202,0
1675978232,0
1675978262,0
1675978292,0
1675978322,0
1675978352,0
1675978382,0
1675978412,0
1675978442,0
1675978472,0
1675978502,0
1675978532,0
1675978562,0
1675978592,0
1675978622,0
1675978652,0
1675978682,0
1675978712,0
1675978742,0
1675978772,0
1675978802,0
1675978832,0
1675978862,0
1675978892,0
1675978922,0
1675978952,0
1675978982,0
1675979012,0
1675979042,0
1675979072,0
1675979102,0
1675979132,0
1675979162,0
1675979192,0
1675979222,0
1675979252,0
1675979282,0
1675979312,0
1675979342,0
1675979372,0
1675979402,0
1675979432,0
1675979462,0
1675979492,0
1675979522,0
1675979552,0
1675979582,0
1675979612,0
1675979642,0
1675979672,0
1675979702,0
1675979732,0
