t,value
1675883910,0.0
1675883940,1.0
1675883970,0.9931506849315068
1675884000,1.0
1675884030,1.0
1675884060,1.0
1675884090,1.0
1675884120,1.0
1675884150,0.9931972789115646
1675884180,1.0
1675884210,1.0
1675884240,1.0
1675884270,1.0
1675884300,1.0
1675884330,1.0
1675884360,1.0
1675884390,1.0
1675884420,1.0
1675884450,1.0
1675884480,1.0
1675884510,1.0
1675884540,1.0
1675884570,1.0
1675884600,1.0
1675884630,1.0
1675884660,1.0
1675884690,1.0
1675884720,1.0
1675884750,1.0
1675884780,1.0
1675884810,1.0
1675884840,1.0
1675975050,0.0
1675975080,1.0
1675975110,1.0
1675975141,1.0
1675975171,1.0
1675975201,1.0
1675975231,1.0
1675975261,1.0
1675975291,1.0
1675975321,1.0
1675975351,1.0
1675975381,1.0
1675975411,0.9980952380952381
1675975441,1.0
1675975471,1.0
1675975501,1.0
1675975531,1.0
1675975561,1.0
1675975591,1.0
1675975621,1.0
1675975651,1.0
1675975681,0.9975903614457832
1675975711,1.0
1675975741,1.0
1675975771,1.0
1675975801,1.0
1675975831,1.0
1675975861,1.0
1675975891,1.0
1675975921,1.0
1675975951,1.0
1675975981,1.0
1675976011,1.0
1675976041,1.0
1675976071,1.0
1675976101,1.0
1675976131,1.0
1675976161,1.0
1675976191,1.0
1675976221,1.0
1675976251,1.0
1675976281,1.0
1675976311,1.0
1675976341,1.0
1675976371,1.0
1675976401,1.0
1675976431,1.0
1675976461,1.0
1675976491,1.0
1675976521,1.0
1675976551,1.0
1675976581,1.0
1675976611,1.0
1675976641,1.0
1675976671,1.0
1675976701,1.0
1675976731,0.9950819672131147
1675976761,1.0
1675976791,1.0
1675976821,1.0
1675976851,1.0
1675976881,1.0
1675976911,1.0
1675976941,1.0
1675976971,1.0
1675977001,1.0
1675977031,1.0
1675977061,1.0
1675977091,1.0
1675977121,1.0
1675977151,1.0
1675977181,1.0
1675977211,1.0
1675977241,1.0
1675977271,1.0
1675977301,1.0
1675977331,1.0
1675977361,1.0
1675977391,1.0
1675977421,1.0
1675977451,1.0
1675977481,1.0
1675977511,1.0
1675977541,1.0
1675977572,1.0
1675977602,1.0
1675977632,1.0
1675977662,1.0
1675977692,1.0
1675977722,1.0
1675977752,1.0
1675977782,1.0
1675977812,1.0
1675977842,1.0
1675977872,1.0
1675977902,1.0
1675977932,1.0
1675977962,1.0
1675977992,1.0
1675978022,1.0
1675978052,1.0
1675978082,1.0
1675978112,1.0
1675978142,1.0
1675978172,1.0
1675978202,1.0
1675978232,1.0
1675978262,1.0
1675978292,1.0
1675978322,1.0
1675978352,1.0
1675978382,1.0
1675978412,1.0
1675978442,1.0
1675978472,1.0
1675978502,1.0
1675978532,1.0
1675978562,1.0
1675978592,1.0
1675978622,1.0
1675978652,1.0
1675978682,1.0
1675978712,0.9988425925925926
1675978742,1.0
1675978772,1.0
1675978802,1.0
1675978832,1.0
1675978862,1.0
1675978892,1.0
1675978922,1.0
1675978952,1.0
1675978982,1.0
1675979012,1.0
1675979042,1.0
1675979072,1.0
1675979102,1.0
1675979132,1.0
1675979162,1.0
1675979192,1.0
1675979222,1.0
1675979252,1.0
1675979282,1.0
1675979312,1.0
1675979342,1.0
1675979372,1.0
1675979402,1.0
1675979432,1.0
1675979462,1.0
1675979492,0.9988814317673378
1675979522,1.0
1675979552,1.0
1675979582,1.0
1675979612,1.0
1675979642,1.0
1675979672,1.0
1675979702,1.0
1675979732,1.0
