t,value
1675883910,9223372036854770335
1675883940,9223372036854767903
1675883970,9223372036854764255
1675884000,9223372036854761567
1675884030,9223372036854758111
1675884060,9223372036854754207
1675884090,9223372036854751775
1675884120,9223372036854749407
1675884150,9223372036854745823
1675884180,9223372036854745055
1675884210,9223372036854740191
1675884240,9223372036854739359
1675884270,9223372036854737823
1675884300,9223372036854737055
1675884330,9223372036854735519
1675884360,9223372036854734687
1675884390,9223372036854733087
1675884420,9223372036854732383
1675884450,9223372036854730783
1675884480,9223372036854729951
1675884510,9223372036854728415
1675884540,9223372036854727711
1675884570,9223372036854726111
1675884600,9223372036854725343
1675884630,9223372036854723743
1675884660,9223372036854722975
1675884690,9223372036854721375
1675884720,9223372036854720543
1675884750,9223372036854719007
1675884780,9223372036854718303
1675884810,9223372036854716703
1675884840,9223372036854715935
1675975050,9223372036854775807
1675975080,9223372036854769567
1675975110,9223372036854768799
1675975141,9223372036854767199
1675975171,9223372036854766431
1675975201,9223372036854764831
1675975231,9223372036854764063
1675975261,9223372036854762527
1675975291,9223372036854761055
1675975321,9223372036854758495
1675975351,9223372036854757471
1675975381,9223372036854754463
1675975411,9223372036854752543
1675975441,9223372036854750943
1675975471,9223372036854744287
1675975501,9223372036854738055
1675975531,9223372036854735815
1675975561,9223372036854732231
1675975591,9223372036854729863
1675975621,9223372036854727943
1675975651,9223372036854726855
1675975681,9223372036854724231
1675975711,9223372036854720711
1675975741,9223372036854717575
1675975771,9223372036854713735
1675975801,9223372036854708487
1675975831,9223372036854703943
1675975861,9223372036854699719
1675975891,9223372036854698887
1675975921,9223372036854697287
1675975951,9223372036854696327
1675975981,9223372036854693959
1675976011,9223372036854692999
1675976041,9223372036854690311
1675976071,9223372036854687751
1675976101,9223372036854683591
1675976131,9223372036854682695
1675976161,9223372036854679687
1675976191,9223372036854677319
1675976221,9223372036854674887
1675976251,9223372036854672071
1675976281,9223372036854668487
1675976311,9223372036854664775
1675976341,9223372036854661063
1675976371,9223372036854660103
1675976401,9223372036854658695
1675976431,9223372036854656839
1675976461,9223372036854652191
1675976491,9223372036854648903
1675976521,9223372036854646215
1675976551,9223372036854641479
1675976581,9223372036854633863
1675976611,9223372036854629511
1675976641,9223372036854626311
1675976671,9223372036854624839
1675976701,9223372036854623879
1675976731,9223372036854622215
1675976761,9223372036854619463
1675976791,9223372036854617415
1675976821,9223372036854616391
1675976851,9223372036854614727
1675976881,9223372036854611015
1675976911,9223372036854609479
1675976941,9223372036854606215
1675976971,9223372036854604551
1675977001,9223372036854602631
1675977031,9223372036854601095
1675977061,9223372036854600263
1675977091,9223372036854598663
1675977121,9223372036854597959
1675977151,9223372036854596359
1675977181,9223372036854595527
1675977211,9223372036854594055
1675977241,9223372036854592583
1675977271,9223372036854590407
1675977301,9223372036854588423
1675977331,9223372036854584775
1675977361,9223372036854583751
1675977391,9223372036854580807
1675977421,9223372036854578567
1675977451,9223372036854576967
1675977481,9223372036854576199
1675977511,9223372036854574151
1675977541,9223372036854573383
1675977572,9223372036854571847
1675977602,9223372036854571015
1675977632,9223372036854569479
1675977662,9223372036854568711
1675977692,9223372036854567047
1675977722,9223372036854566407
1675977752,9223372036854564743
1675977782,9223372036854563975
1675977812,9223372036854562439
1675977842,9223372036854561607
1675977872,9223372036854560071
1675977902,9223372036854559239
1675977932,9223372036854557703
1675977962,9223372036854556935
1675977992,9223372036854555335
1675978022,9223372036854554503
1675978052,9223372036854551559
1675978082,9223372036854550535
1675978112,9223372036854548551
1675978142,9223372036854547207
1675978172,9223372036854542791
1675978202,9223372036854542023
1675978232,9223372036854540487
1675978262,9223372036854539399
1675978292,9223372036854536839
1675978322,9223372036854535815
1675978352,9223372036854532295
1675978382,9223372036854530375
1675978412,9223372036854525959
1675978442,9223372036854524807
1675978472,9223372036854522055
1675978502,9223372036854519751
1675978532,9223372036854518151
1675978562,9223372036854517383
1675978592,9223372036854514951
1675978622,9223372036854512903
1675978652,9223372036854509895
1675978682,9223372036854768519
1675978712,9223372036854764103
1675978742,9223372036854763335
1675978772,9223372036854761799
1675978802,9223372036854760327
1675978832,9223372036854757063
1675978862,9223372036854755143
1675978892,9223372036854752391
1675978922,9223372036854751495
1675978952,9223372036854749895
1675978982,9223372036854749127
1675979012,9223372036854747079
1675979042,9223372036854745095
1675979072,9223372036854743367
1675979102,9223372036854741383
1675979132,9223372036854739847
1675979162,9223372036854739015
1675979192,9223372036854737479
1675979222,9223372036854735687
1675979252,9223372036854731847
1675979282,9223372036854730183
1675979312,9223372036854727815
1675979342,9223372036854724807
1675979372,9223372036854720583
1675979402,9223372036854719751
1675979432,9223372036854718215
1675979462,9223372036854715463
1675979492,9223372036854711367
1675979522,9223372036854710599
1675979552,9223372036854709063
1675979582,9223372036854708231
1675979612,9223372036854706695
1675979642,9223372036854705863
1675979672,9223372036854704327
1675979702,9223372036854703559
1675979732,9223372036854701959
