t,value
1675883910,67114336
1675883940,67116768
1675883970,67120416
1675884000,67123104
1675884030,67126560
1675884060,67130464
1675884090,67132896
1675884120,67135264
1675884150,67138848
1675884180,67139616
1675884210,67144480
1675884240,67145312
1675884270,67146848
1675884300,67147616
1675884330,67149152
1675884360,67149984
1675884390,67151584
1675884420,67152288
1675884450,67153888
1675884480,67154720
1675884510,67156256
1675884540,67156960
1675884570,67158560
1675884600,67159328
1675884630,67160928
1675884660,67161696
1675884690,67163296
1675884720,67164128
1675884750,67165664
1675884780,67166368
1675884810,67167968
1675884840,67168736
1675975050,25165824
1675975080,67115104
1675975110,67115872
1675975141,67117472
1675975171,67118240
1675975201,67119840
1675975231,67120608
1675975261,67122144
1675975291,67123616
1675975321,67126176
1675975351,67127200
1675975381,67130208
1675975411,67132128
1675975441,67133728
1675975471,67140384
1675975501,67146616
1675975531,67148856
1675975561,67152440
1675975591,67154808
1675975621,67156728
1675975651,67157816
1675975681,67160440
1675975711,67163960
1675975741,67167096
1675975771,67170936
1675975801,67176184
1675975831,67180728
1675975861,67184952
1675975891,67185784
1675975921,67187384
1675975951,67188344
1675975981,67190712
1675976011,67191672
1675976041,67194360
1675976071,67196920
1675976101,67201080
1675976131,67201976
1675976161,67204984
1675976191,67207352
1675976221,67209784
1675976251,67212600
1675976281,67216184
1675976311,67219896
1675976341,67223608
1675976371,67224568
1675976401,67225976
1675976431,67227832
1675976461,67232480
1675976491,67235768
1675976521,67238456
1675976551,67243192
1675976581,67250808
1675976611,67255160
1675976641,67258360
1675976671,67259832
1675976701,67260792
1675976731,67262456
1675976761,67265208
1675976791,67267256
1675976821,67268280
1675976851,67269944
1675976881,67273656
1675976911,67275192
1675976941,67278456
1675976971,67280120
1675977001,67282040
1675977031,67283576
1675977061,67284408
1675977091,67286008
1675977121,67286712
1675977151,67288312
1675977181,67289144
1675977211,67290616
1675977241,67292088
1675977271,67294264
1675977301,67296248
1675977331,67299896
1675977361,67300920
1675977391,67303864
1675977421,67306104
1675977451,67307704
1675977481,67308472
1675977511,67310520
1675977541,67311288
1675977572,67312824
1675977602,67313656
1675977632,67315192
1675977662,67315960
1675977692,67317624
1675977722,67318264
1675977752,67319928
1675977782,67320696
1675977812,67322232
1675977842,67323064
1675977872,67324600
1675977902,67325432
1675977932,67326968
1675977962,67327736
1675977992,67329336
1675978022,67330168
1675978052,67333112
1675978082,67334136
1675978112,67336120
1675978142,67337464
1675978172,67341880
1675978202,67342648
1675978232,67344184
1675978262,67345272
1675978292,67347832
1675978322,67348856
1675978352,67352376
1675978382,67354296
1675978412,67358712
1675978442,67359864
1675978472,67362616
1675978502,67364920
1675978532,67366520
1675978562,67367288
1675978592,67369720
1675978622,67371768
1675978652,67374776
1675978682,67116152
1675978712,67120568
1675978742,67121336
1675978772,67122872
1675978802,67124344
1675978832,67127608
1675978862,67129528
1675978892,67132280
1675978922,67133176
1675978952,67134776
1675978982,67135544
1675979012,67137592
1675979042,67139576
1675979072,67141304
1675979102,67143288
1675979132,67144824
1675979162,67145656
1675979192,67147192
1675979222,67148984
1675979252,67152824
1675979282,67154488
1675979312,67156856
1675979342,67159864
1675979372,67164088
1675979402,67164920
1675979432,67166456
1675979462,67169208
1675979492,67173304
1675979522,67174072
1675979552,67175608
1675979582,67176440
1675979612,67177976
1675979642,67178808
1675979672,67180344
1675979702,67181112
1675979732,67182712
