t,value
1675883910,5472
1675883940,7904
1675883970,11552
1675884000,14240
1675884030,17696
1675884060,21600
1675884090,24032
1675884120,26400
1675884150,29984
1675884180,30752
1675884210,35616
1675884240,36448
1675884270,37984
1675884300,38752
1675884330,40288
1675884360,41120
1675884390,42720
1675884420,43424
1675884450,45024
1675884480,45856
1675884510,47392
1675884540,48096
1675884570,49696
1675884600,50464
1675884630,52064
1675884660,52832
1675884690,54432
1675884720,55264
1675884750,56800
1675884780,57504
1675884810,59104
1675884840,59872
1675975050,0
1675975080,6240
1675975110,7008
1675975141,8608
1675975171,9376
1675975201,10976
1675975231,11744
1675975261,13280
1675975291,14752
1675975321,17312
1675975351,18336
1675975381,21344
1675975411,23264
1675975441,24864
1675975471,31520
1675975501,37752
1675975531,39992
1675975561,43576
1675975591,45944
1675975621,47864
1675975651,48952
1675975681,51576
1675975711,55096
1675975741,58232
1675975771,62072
1675975801,67320
1675975831,71864
1675975861,76088
1675975891,76920
1675975921,78520
1675975951,79480
1675975981,81848
1675976011,82808
1675976041,85496
1675976071,88056
1675976101,92216
1675976131,93112
1675976161,96120
1675976191,98488
1675976221,100920
1675976251,103736
1675976281,107320
1675976311,111032
1675976341,114744
1675976371,115704
1675976401,117112
1675976431,118968
1675976461,123616
1675976491,126904
1675976521,129592
1675976551,134328
1675976581,141944
1675976611,146296
1675976641,149496
1675976671,150968
1675976701,151928
1675976731,153592
1675976761,156344
1675976791,158392
1675976821,159416
1675976851,161080
1675976881,164792
1675976911,166328
1675976941,169592
1675976971,171256
1675977001,173176
1675977031,174712
1675977061,175544
1675977091,177144
1675977121,177848
1675977151,179448
1675977181,180280
1675977211,181752
1675977241,183224
1675977271,185400
1675977301,187384
1675977331,191032
1675977361,192056
1675977391,195000
1675977421,197240
1675977451,198840
1675977481,199608
1675977511,201656
1675977541,202424
1675977572,203960
1675977602,204792
1675977632,206328
1675977662,207096
1675977692,208760
1675977722,209400
1675977752,211064
1675977782,211832
1675977812,213368
1675977842,214200
1675977872,215736
1675977902,216568
1675977932,218104
1675977962,218872
1675977992,220472
1675978022,221304
1675978052,224248
1675978082,225272
1675978112,227256
1675978142,228600
1675978172,233016
1675978202,233784
1675978232,235320
1675978262,236408
1675978292,238968
1675978322,239992
1675978352,243512
1675978382,245432
1675978412,249848
1675978442,251000
1675978472,253752
1675978502,256056
1675978532,257656
1675978562,258424
1675978592,260856
1675978622,262904
1675978652,265912
1675978682,7288
1675978712,11704
1675978742,12472
1675978772,14008
1675978802,15480
1675978832,18744
1675978862,20664
1675978892,23416
1675978922,24312
1675978952,25912
1675978982,26680
1675979012,28728
1675979042,30712
1675979072,32440
1675979102,34424
1675979132,35960
1675979162,36792
1675979192,38328
1675979222,40120
1675979252,43960
1675979282,45624
1675979312,47992
1675979342,51000
1675979372,55224
1675979402,56056
1675979432,57592
1675979462,60344
1675979492,64440
1675979522,65208
1675979552,66744
1675979582,67576
1675979612,69112
1675979642,69944
1675979672,71480
1675979702,72248
1675979732,73848
