t,value
1675883910,-1
1675883940,-1
1675883970,-1
1675884000,-1
1675884030,-1
1675884060,-1
1675884090,-1
1675884120,-1
1675884150,-1
1675884180,-1
1675884210,-1
1675884240,-1
1675884270,-1
1675884300,-1
1675884330,-1
1675884360,-1
1675884390,-1
1675884420,-1
1675884450,-1
1675884480,-1
1675884510,-1
1675884540,-1
1675884570,-1
1675884600,-1
1675884630,-1
1675884660,-1
1675884690,-1
1675884720,-1
1675884750,-1
1675884780,-1
1675884810,-1
1675884840,-1
1675975050,-1
1675975080,-1
1675975110,-1
1675975141,-1
1675975171,-1
1675975201,-1
1675975231,-1
1675975261,-1
1675975291,-1
1675975321,-1
1675975351,-1
1675975381,-1
1675975411,-1
1675975441,-1
1675975471,-1
1675975501,-1
1675975531,-1
1675975561,-1
1675975591,-1
1675975621,-1
1675975651,-1
1675975681,-1
1675975711,-1
1675975741,-1
1675975771,-1
1675975801,-1
1675975831,-1
1675975861,-1
1675975891,-1
1675975921,-1
1675975951,-1
1675975981,-1
1675976011,-1
1675976041,-1
1675976071,-1
1675976101,-1
1675976131,-1
1675976161,-1
1675976191,-1
1675976221,-1
1675976251,-1
1675976281,-1
1675976311,-1
1675976341,-1
1675976371,-1
1675976401,-1
1675976431,-1
1675976461,-1
1675976491,-1
1675976521,-1
1675976551,-1
1675976581,-1
1675976611,-1
1675976641,-1
1675976671,-1
1675976701,-1
1675976731,-1
1675976761,-1
1675976791,-1
1675976821,-1
1675976851,-1
1675976881,-1
1675976911,-1
1675976941,-1
1675976971,-1
1675977001,-1
1675977031,-1
1675977061,-1
1675977091,-1
1675977121,-1
1675977151,-1
1675977181,-1
1675977211,-1
1675977241,-1
1675977271,-1
1675977301,-1
1675977331,-1
1675977361,-1
1675977391,-1
1675977421,-1
1675977451,-1
1675977481,-1
1675977511,-1
1675977541,-1
1675977572,-1
1675977602,-1
1675977632,-1
1675977662,-1
1675977692,-1
1675977722,-1
1675977752,-1
1675977782,-1
1675977812,-1
1675977842,-1
1675977872,-1
1675977902,-1
1675977932,-1
1675977962,-1
1675977992,-1
1675978022,-1
1675978052,-1
1675978082,-1
1675978112,-1
1675978142,-1
1675978172,-1
1675978202,-1
1675978232,-1
1675978262,-1
1675978292,-1
1675978322,-1
1675978352,-1
1675978382,-1
1675978412,-1
1675978442,-1
1675978472,-1
1675978502,-1
1675978532,-1
1675978562,-1
1675978592,-1
1675978622,-1
1675978652,-1
1675978682,-1
1675978712,-1
1675978742,-1
1675978772,-1
1675978802,-1
1675978832,-1
1675978862,-1
1675978892,-1
1675978922,-1
1675978952,-1
1675978982,-1
1675979012,-1
1675979042,-1
1675979072,-1
1675979102,-1
1675979132,-1
1675979162,-1
1675979192,-1
1675979222,-1
1675979252,-1
1675979282,-1
1675979312,-1
1675979342,-1
1675979372,-1
1675979402,-1
1675979432,-1
1675979462,-1
1675979492,-1
1675979522,-1
1675979552,-1
1675979582,-1
1675979612,-1
1675979642,-1
1675979672,-1
1675979702,-1
1675979732,-1
