t,value
1675883910,70142688
1675883940,70142688
1675883970,70142688
1675884000,70142688
1675884030,70142688
1675884060,70142688
1675884090,70142688
1675884120,70142688
1675884150,70142688
1675884180,70142688
1675884210,70142688
1675884240,70142688
1675884270,70142688
1675884300,70142688
1675884330,70142688
1675884360,70142688
1675884390,70142688
1675884420,70142688
1675884450,70142688
1675884480,70142688
1675884510,70142688
1675884540,70142688
1675884570,70142688
1675884600,70142688
1675884630,70142688
1675884660,70142688
1675884690,70142688
1675884720,70142688
1675884750,70142688
1675884780,70142688
1675884810,70142688
1675884840,70142688
1675975050,362730736
1675975080,362730736
1675975110,362730736
1675975141,362730736
1675975171,362730736
1675975201,362730736
1675975231,362730736
1675975261,362730736
1675975291,362730736
1675975321,362730736
1675975351,362730736
1675975381,362730736
1675975411,362730736
1675975441,362730736
1675975471,362730736
1675975501,362730736
1675975531,362730736
1675975561,362730736
1675975591,362730736
1675975621,362730736
1675975651,362730736
1675975681,362730736
1675975711,362730736
1675975741,362730736
1675975771,362730736
1675975801,362730736
1675975831,362730736
1675975861,362730736
1675975891,362730736
1675975921,362730736
1675975951,362730736
1675975981,362730736
1675976011,362730736
1675976041,362730736
1675976071,362730736
1675976101,362730736
1675976131,362730736
1675976161,362730736
1675976191,362730736
1675976221,362730736
1675976251,362730736
1675976281,362730736
1675976311,362730736
1675976341,362730736
1675976371,362730736
1675976401,362730736
1675976431,362730736
1675976461,362730736
1675976491,362730736
1675976521,362730736
1675976551,362730736
1675976581,362730736
1675976611,362730736
1675976641,362730736
1675976671,362730736
1675976701,362730736
1675976731,362730736
1675976761,362730736
1675976791,362730736
1675976821,362730736
1675976851,362730736
1675976881,362730736
1675976911,362730736
1675976941,362730736
1675976971,362730736
1675977001,362730736
1675977031,362730736
1675977061,362730736
1675977091,362730736
1675977121,362730736
1675977151,362730736
1675977181,362730736
1675977211,362730736
1675977241,362730736
1675977271,362730736
1675977301,362730736
1675977331,362730736
1675977361,362730736
1675977391,362730736
1675977421,362730736
1675977451,362730736
1675977481,362730736
1675977511,362730736
1675977541,362730736
1675977572,362730736
1675977602,362730736
1675977632,362730736
1675977662,362730736
1675977692,362730736
1675977722,362730736
1675977752,362730736
1675977782,362730736
1675977812,362730736
1675977842,362730736
1675977872,362730736
1675977902,362730736
1675977932,362730736
1675977962,362730736
1675977992,362730736
1675978022,362730736
1675978052,362730736
1675978082,362730736
1675978112,362730736
1675978142,362730736
1675978172,362730736
1675978202,362730736
1675978232,362730736
1675978262,362730736
1675978292,362730736
1675978322,362730736
1675978352,362730736
1675978382,362730736
1675978412,362730736
1675978442,362730736
1675978472,362730736
1675978502,362730736
1675978532,362730736
1675978562,362730736
1675978592,362730736
1675978622,362730736
1675978652,362730736
1675978682,362730736
1675978712,362730736
1675978742,362730736
1675978772,362730736
1675978802,362730736
1675978832,362730736
1675978862,362730736
1675978892,362730736
1675978922,362730736
1675978952,362730736
1675978982,362730736
1675979012,362730736
1675979042,362730736
1675979072,362730736
1675979102,362730736
1675979132,362730736
1675979162,362730736
1675979192,362730736
1675979222,362730736
1675979252,362730736
1675979282,362730736
1675979312,362730736
1675979342,362730736
1675979372,362730736
1675979402,362730736
1675979432,362730736
1675979462,362730736
1675979492,362730736
1675979522,362730736
1675979552,362730736
1675979582,362730736
1675979612,362730736
1675979642,362730736
1675979672,362730736
1675979702,362730736
1675979732,362730736
