t,value
1675883910,724
1675883940,724
1675883970,596
1675884000,596
1675884030,596
1675884060,596
1675884090,596
1675884120,596
1675884150,596
1675884180,596
1675884210,596
1675884240,596
1675884270,596
1675884300,596
1675884330,596
1675884360,596
1675884390,596
1675884420,596
1675884450,596
1675884480,596
1675884510,596
1675884540,596
1675884570,596
1675884600,596
1675884630,596
1675884660,596
1675884690,596
1675884720,596
1675884750,596
1675884780,596
1675884810,596
1675884840,596
1675975050,725
1675975080,725
1675975110,596
1675975141,596
1675975171,596
1675975201,596
1675975231,596
1675975261,596
1675975291,596
1675975321,596
1675975351,596
1675975381,596
1675975411,596
1675975441,596
1675975471,596
1675975501,596
1675975531,596
1675975561,596
1675975591,596
1675975621,596
1675975651,596
1675975681,596
1675975711,596
1675975741,596
1675975771,596
1675975801,596
1675975831,596
1675975861,596
1675975891,596
1675975921,596
1675975951,596
1675975981,596
1675976011,596
1675976041,596
1675976071,596
1675976101,596
1675976131,596
1675976161,596
1675976191,596
1675976221,596
1675976251,596
1675976281,596
1675976311,596
1675976341,596
1675976371,596
1675976401,596
1675976431,596
1675976461,596
1675976491,596
1675976521,596
1675976551,596
1675976581,596
1675976611,596
1675976641,596
1675976671,596
1675976701,596
1675976731,596
1675976761,596
1675976791,596
1675976821,596
1675976851,596
1675976881,596
1675976911,596
1675976941,596
1675976971,596
1675977001,596
1675977031,596
1675977061,596
1675977091,596
1675977121,596
1675977151,596
1675977181,596
1675977211,596
1675977241,596
1675977271,596
1675977301,596
1675977331,596
1675977361,596
1675977391,596
1675977421,596
1675977451,596
1675977481,596
1675977511,596
1675977541,596
1675977572,596
1675977602,596
1675977632,596
1675977662,596
1675977692,596
1675977722,596
1675977752,596
1675977782,596
1675977812,596
1675977842,596
1675977872,596
1675977902,596
1675977932,596
1675977962,596
1675977992,596
1675978022,596
1675978052,596
1675978082,596
1675978112,596
1675978142,596
1675978172,596
1675978202,596
1675978232,596
1675978262,596
1675978292,596
1675978322,596
1675978352,596
1675978382,596
1675978412,596
1675978442,596
1675978472,596
1675978502,596
1675978532,596
1675978562,596
1675978592,596
1675978622,596
1675978652,596
1675978682,596
1675978712,596
1675978742,596
1675978772,596
1675978802,596
1675978832,596
1675978862,596
1675978892,596
1675978922,596
1675978952,596
1675978982,596
1675979012,596
1675979042,596
1675979072,596
1675979102,596
1675979132,596
1675979162,596
1675979192,596
1675979222,596
1675979252,596
1675979282,596
1675979312,596
1675979342,596
1675979372,596
1675979402,596
1675979432,596
1675979462,596
1675979492,596
1675979522,596
1675979552,596
1675979582,596
1675979612,596
1675979642,596
1675979672,596
1675979702,596
1675979732,596
