t,value
1675883910,127926272
1675883940,170917888
1675883970,214958080
1675884000,277872640
1675884030,31457280
1675884060,79691776
1675884090,108003328
1675884120,121634816
1675884150,160432128
1675884180,167772160
1675884210,206569472
1675884240,214958080
1675884270,232783872
1675884300,240123904
1675884330,257949696
1675884360,266338304
1675884390,284164096
1675884420,291504128
1675884450,9437184
1675884480,18874368
1675884510,37748736
1675884540,45088768
1675884570,62914560
1675884600,70254592
1675884630,89128960
1675884660,96468992
1675884690,114294784
1675884720,121634816
1675884750,139460608
1675884780,146800640
1675884810,164626432
1675884840,170917888
1675975050,72351744
1675975080,225443840
1675975110,248512512
1675975141,264241152
1675975171,8388608
1675975201,30408704
1675975231,42991616
1675975261,77594624
1675975291,90177536
1675975321,123731968
1675975351,134217728
1675975381,160432128
1675975411,236978176
1675975441,251658240
1675975471,298844160
1675975501,32505856
1675975531,57671680
1675975561,83886080
1675975591,110100480
1675975621,131072000
1675975651,164626432
1675975681,186646528
1675975711,231735296
1675975741,290455552
1675975771,16777216
1675975801,93323264
1675975831,181403648
1675975861,229638144
1675975891,241172480
1675975921,254803968
1675975951,267386880
1675975981,11534336
1675976011,23068672
1675976041,52428800
1675976071,66060288
1675976101,113246208
1675976131,132120576
1675976161,191889408
1675976191,218103808
1675976221,236978176
1675976251,253755392
1675976281,278921216
1675976311,13631488
1675976341,38797312
1675976371,51380224
1675976401,65011712
1675976431,89128960
1675976461,105906176
1675976491,152043520
1675976521,171966464
1675976551,219152384
1675976581,281018368
1675976611,20971520
1675976641,69206016
1675976671,85983232
1675976701,93323264
1675976731,138412032
1675976761,166723584
1675976791,203423744
1675976821,220200960
1675976851,243269632
1675976881,285212672
1675976911,4194304
1675976941,25165824
1675976971,51380224
1675977001,76546048
1675977031,93323264
1675977061,101711872
1675977091,117440512
1675977121,125829120
1675977151,142606336
1675977181,149946368
1675977211,166723584
1675977241,176160768
1675977271,197132288
1675977301,260046848
1675977331,9437184
1675977361,17825792
1675977391,63963136
1675977421,110100480
1675977451,128974848
1675977481,136314880
1675977511,155189248
1675977541,162529280
1675977572,179306496
1675977602,186646528
1675977632,210763776
1675977662,219152384
1675977692,235929600
1675977722,243269632
1675977752,261095424
1675977782,268435456
1675977812,285212672
1675977842,293601280
1675977872,11534336
1675977902,19922944
1675977932,36700160
1675977962,44040192
1675977992,61865984
1675978022,69206016
1675978052,92274688
1675978082,100663296
1675978112,132120576
1675978142,158334976
1675978172,277872640
1675978202,285212672
1675978232,2097152
1675978262,46137344
1675978292,104857600
1675978322,116391936
1675978352,146800640
1675978382,166723584
1675978412,236978176
1675978442,49283072
1675978472,108003328
1675978502,203423744
1675978532,227540992
1675978562,234881024
1675978592,103809024
1675978622,182452224
1675978652,214958080
1675978682,285212672
1675978712,147849216
1675978742,156237824
1675978772,173015040
1675978802,200278016
1675978832,201326592
1675978862,123731968
1675978892,205520896
1675978922,214958080
1675978952,231735296
1675978982,239075328
1675979012,296747008
1675979042,85983232
1675979072,104857600
1675979102,180355072
1675979132,198180864
1675979162,205520896
1675979192,223346688
1675979222,131072000
1675979252,152043520
1675979282,209715200
1675979312,258998272
1675979342,22020096
1675979372,50331648
1675979402,58720256
1675979432,82837504
1675979462,4194304
1675979492,131072000
1675979522,138412032
1675979552,156237824
1675979582,164626432
1675979612,181403648
1675979642,188743680
1675979672,206569472
1675979702,213909504
1675979732,230686720
