t,value
1675883910,50331648
1675883940,50331648
1675883970,50331648
1675884000,50331648
1675884030,57301504
1675884060,57301504
1675884090,57301504
1675884120,57301504
1675884150,57301504
1675884180,57301504
1675884210,57301504
1675884240,57301504
1675884270,57301504
1675884300,57301504
1675884330,57301504
1675884360,57301504
1675884390,57301504
1675884420,57301504
1675884450,57301504
1675884480,57301504
1675884510,57301504
1675884540,57301504
1675884570,57301504
1675884600,57301504
1675884630,57301504
1675884660,57301504
1675884690,57301504
1675884720,57301504
1675884750,57301504
1675884780,57301504
1675884810,57301504
1675884840,57301504
1675975050,72192512
1675975080,61706752
1675975110,61706752
1675975141,61706752
1675975171,61706752
1675975201,61706752
1675975231,61706752
1675975261,61706752
1675975291,61706752
1675975321,61706752
1675975351,61706752
1675975381,61706752
1675975411,82678272
1675975441,82678272
1675975471,82678272
1675975501,61706752
1675975531,61706752
1675975561,61706752
1675975591,61706752
1675975621,61706752
1675975651,61706752
1675975681,61706752
1675975711,61706752
1675975741,61706752
1675975771,61706752
1675975801,61706752
1675975831,61706752
1675975861,61706752
1675975891,61706752
1675975921,61706752
1675975951,61706752
1675975981,61706752
1675976011,61706752
1675976041,61706752
1675976071,61706752
1675976101,61706752
1675976131,61706752
1675976161,61706752
1675976191,61706752
1675976221,61706752
1675976251,61706752
1675976281,61706752
1675976311,61706752
1675976341,61706752
1675976371,61706752
1675976401,61706752
1675976431,61706752
1675976461,61706752
1675976491,61706752
1675976521,61706752
1675976551,61706752
1675976581,61706752
1675976611,61706752
1675976641,61706752
1675976671,61706752
1675976701,61706752
1675976731,61706752
1675976761,61706752
1675976791,61706752
1675976821,61706752
1675976851,61706752
1675976881,61706752
1675976911,61706752
1675976941,61706752
1675976971,61706752
1675977001,61706752
1675977031,61706752
1675977061,61706752
1675977091,61706752
1675977121,61706752
1675977151,61706752
1675977181,61706752
1675977211,61706752
1675977241,61706752
1675977271,61706752
1675977301,61706752
1675977331,61706752
1675977361,61706752
1675977391,61706752
1675977421,61706752
1675977451,61706752
1675977481,61706752
1675977511,61706752
1675977541,61706752
1675977572,61706752
1675977602,61706752
1675977632,61706752
1675977662,61706752
1675977692,61706752
1675977722,61706752
1675977752,61706752
1675977782,61706752
1675977812,61706752
1675977842,61706752
1675977872,61706752
1675977902,61706752
1675977932,61706752
1675977962,61706752
1675977992,61706752
1675978022,61706752
1675978052,61706752
1675978082,61706752
1675978112,61706752
1675978142,61706752
1675978172,61706752
1675978202,61706752
1675978232,61706752
1675978262,61706752
1675978292,61706752
1675978322,61706752
1675978352,61706752
1675978382,61706752
1675978412,61706752
1675978442,67504640
1675978472,67504640
1675978502,67504640
1675978532,67504640
1675978562,67504640
1675978592,67504640
1675978622,67504640
1675978652,67504640
1675978682,67504640
1675978712,67504640
1675978742,67504640
1675978772,67504640
1675978802,67504640
1675978832,74066944
1675978862,75185664
1675978892,75185664
1675978922,75185664
1675978952,75185664
1675978982,75185664
1675979012,75185664
1675979042,76715008
1675979072,76715008
1675979102,76715008
1675979132,76715008
1675979162,76715008
1675979192,76715008
1675979222,78042624
1675979252,79000064
1675979282,79000064
1675979312,79000064
1675979342,79954432
1675979372,81298944
1675979402,81298944
1675979432,81298944
1675979462,82020864
1675979492,82020864
1675979522,82020864
1675979552,82020864
1675979582,82020864
1675979612,82020864
1675979642,82020864
1675979672,82020864
1675979702,82020864
1675979732,82020864
