t,value
1675883910,128
1675883940,128
1675883970,101
1675884000,101
1675884030,100
1675884060,100
1675884090,100
1675884120,100
1675884150,100
1675884180,100
1675884210,101
1675884240,101
1675884270,99
1675884300,99
1675884330,98
1675884360,98
1675884390,98
1675884420,98
1675884450,98
1675884480,98
1675884510,100
1675884540,100
1675884570,98
1675884600,98
1675884630,98
1675884660,98
1675884690,98
1675884720,98
1675884750,98
1675884780,98
1675884810,99
1675884840,99
1675975050,136
1675975080,145
1675975110,102
1675975141,101
1675975171,100
1675975201,100
1675975231,100
1675975261,100
1675975291,100
1675975321,101
1675975351,102
1675975381,102
1675975411,101
1675975441,101
1675975471,101
1675975501,101
1675975531,101
1675975561,101
1675975591,101
1675975621,101
1675975651,102
1675975681,102
1675975711,101
1675975741,101
1675975771,101
1675975801,101
1675975831,101
1675975861,101
1675975891,101
1675975921,100
1675975951,101
1675975981,102
1675976011,101
1675976041,101
1675976071,101
1675976101,101
1675976131,101
1675976161,101
1675976191,101
1675976221,101
1675976251,102
1675976281,102
1675976311,101
1675976341,101
1675976371,101
1675976401,100
1675976431,100
1675976461,100
1675976491,100
1675976521,100
1675976551,101
1675976581,102
1675976611,101
1675976641,101
1675976671,101
1675976701,100
1675976731,101
1675976761,101
1675976791,101
1675976821,101
1675976851,102
1675976881,102
1675976911,101
1675976941,101
1675976971,101
1675977001,101
1675977031,101
1675977061,100
1675977091,100
1675977121,99
1675977151,100
1675977181,100
1675977211,99
1675977241,99
1675977271,100
1675977301,101
1675977331,101
1675977361,101
1675977391,101
1675977421,101
1675977451,102
1675977481,101
1675977511,100
1675977541,99
1675977572,99
1675977602,99
1675977632,99
1675977662,99
1675977692,99
1675977722,99
1675977752,100
1675977782,100
1675977812,99
1675977842,99
1675977872,99
1675977902,99
1675977932,99
1675977962,99
1675977992,99
1675978022,99
1675978052,101
1675978082,101
1675978112,101
1675978142,101
1675978172,101
1675978202,101
1675978232,100
1675978262,100
1675978292,100
1675978322,100
1675978352,101
1675978382,101
1675978412,100
1675978442,101
1675978472,101
1675978502,101
1675978532,101
1675978562,100
1675978592,101
1675978622,101
1675978652,102
1675978682,102
1675978712,101
1675978742,101
1675978772,100
1675978802,100
1675978832,100
1675978862,101
1675978892,101
1675978922,101
1675978952,101
1675978982,101
1675979012,100
1675979042,100
1675979072,100
1675979102,100
1675979132,100
1675979162,99
1675979192,99
1675979222,100
1675979252,102
1675979282,102
1675979312,101
1675979342,101
1675979372,101
1675979402,101
1675979432,100
1675979462,100
1675979492,100
1675979522,100
1675979552,100
1675979582,100
1675979612,99
1675979642,99
1675979672,99
1675979702,99
1675979732,99
